"Region","rsu_raf","nombre","glosa","fono","Socios","Socias","FechaConstitucion","Column1","NombreOficina","Empresa","total","tramo","tipo","anio","Mes","Dia","antiguedad","decada","codigo_region"
"Tarapacá",1010007,"SINDICATO DE TRABAJADORES Nº 2 DE K+S CHILE","ACTIVO",NA,28,3,1967-08-11,"89300 EXTRACCIÓN DE SAL","IPT IQUIQUE",": 76541630-2 K+S CHILE S.A.",31,"40 o menos","Empresa",1967,8,11,54,"Entre 1961 a 1970","01"
"Tarapacá",1010011,"SINDICATO DE TRABAJADORES EMPRESA PORTUARIA IQUIQUE","ACTIVO",NA,21,6,1967-08-01,NA,"IPT IQUIQUE",": 61951300-2 EMPRESA`PORTUARIA IQUIQUE",27,"40 o menos","Empresa",1967,8,1,54,"Entre 1961 a 1970","01"
"Tarapacá",1010019,"SINDICATO Nº1 K+S CHILE S.A.","ACTIVO","411267",30,2,1940-07-06,"942000 ACTIVIDADES DE SINDICATOS","IPT IQUIQUE",": 76541630-2 K+S CHILE S.A.",32,"40 o menos","Empresa",1940,7,6,81,"Entre 1900 a 1950","01"
"Tarapacá",1010028,"SINDICATO DE TRABAJADORES DE LA COOPERATIVA DE CONSUMOS CARABINEROS DE CHILE LTDA., SUCURSAL IQUIQUE","ACTIVO","57-424539",9,4,1966-02-02,NA,"IPT IQUIQUE",": 81242500-5 COOPERCARAB",13,"40 o menos","Empresa",1966,2,2,56,"Entre 1961 a 1970","01"
"Tarapacá",1010075,"SINDICATO DE EMPRESA DE TRABAJADORES DE EMBOTELLADORA IQUIQUE S.A.","ACTIVO","57-2408105",59,12,1983-03-20,"110401 ELABORACIÓN DE BEBIDAS NO ALCOHÓLICAS","IPT IQUIQUE",": 96517310-2 EMBOTELLADORA IQUIQUE S.A.",71,"Entre 51 y 100","Empresa",1983,3,20,39,"Entre 1981 a 1990","01"
"Tarapacá",1010110,"SINDICATO DE TRABAJADORES PORTUARIOS DE EMPRESA REPORT LTDA.","ACTIVO","420495",35,1,1986-12-05,"522920 AGENCIAS DE NAVES","IPT IQUIQUE",": 79509640-K RECURSOS PORTUARIOS Y ESTIBAS LTDA.",36,"40 o menos","Empresa",1986,12,5,35,"Entre 1981 a 1990","01"
"Tarapacá",1010125,"SINDICATO FUNDACION EDUCACIONAL, IQUIQUE ENGLISH COLLEGE","ACTIVO",NA,18,56,1988-03-09,"850022 ENSEÑANZA PRIMARIA, SECUNDARIA CIENTÍFICO HUMANISTA Y TÉCNICO PROFESIONAL PRIVADA","IPT IQUIQUE",": 65033059-5 FUNDACIÓN EDUCACIONAL DE LA IGLESIA METODISTA DE CHILE IQUIQUE ENGLISH COLLEGE",74,"Entre 51 y 100","Empresa",1988,3,9,34,"Entre 1981 a 1990","01"
"Tarapacá",1010138,"SINDICATO DE TRABAJADORES DE EMPRESA ELIQSA","ACTIVO",NA,28,2,1989-07-24,NA,"IPT IQUIQUE",": 76411321-7 CGE S.A.: 96541870-9 EMPRESA ELECTRICA DE IQUIQUE S.A.",30,"40 o menos","Empresa",1989,7,24,32,"Entre 1981 a 1990","01"
"Tarapacá",1010162,"SINDICATO DE TRABAJADORES DE EMPRESA REDES NITTO (CHILE) LTDA.","ACTIVO","414341",14,32,1990-04-12,NA,"IPT IQUIQUE",": 79765090-0 REDES NITTO (CHILE) LTDA.",46,"Entre 41 y 50","Empresa",1990,4,12,32,"Entre 1981 a 1990","01"
"Tarapacá",1010169,"SINDICATO nº 2 de trabajadores aguas del altiplano s.a.","ACTIVO",NA,38,10,1990-05-17,"942000 ACTIVIDADES DE SINDICATOS","IPT IQUIQUE",": 76215634-2 AGUAS DEL ALTIPLANO S.A.",48,"Entre 41 y 50","Empresa",1990,5,17,31,"Entre 1981 a 1990","01"
